bin_start_ns,bin_end_ns,bin_mid_us,pause_events,resume_events,net_pause_events,active_paused_ports,ports_with_event,overall_cluster_throughput_gbps,pipeline_cluster_throughput_gbps,pipeline_hotspot_touch_cluster_throughput_gbps,pipeline_non_hotspot_cluster_throughput_gbps,alltoall_cluster_throughput_gbps
990000,1000000,995.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1000000,1010000,1005.0,0,0,0,0,0,76.8,76.8,0.0,76.8,0.0
1010000,1020000,1015.0,0,0,0,0,0,219.2,219.2,0.0,219.2,0.0
1020000,1030000,1025.0,0,0,0,0,0,275.2,275.2,0.0,275.2,0.0
1030000,1040000,1035.0,0,0,0,0,0,440.0,440.0,0.0,440.0,0.0
1040000,1050000,1045.0,0,0,0,0,0,572.8,572.8,0.0,572.8,0.0
1050000,1060000,1055.0,0,0,0,0,0,566.4,566.4,0.0,566.4,0.0
1060000,1070000,1065.0,0,0,0,0,0,984.0,984.0,0.0,984.0,0.0
1070000,1080000,1075.0,0,0,0,0,0,873.6,873.6,0.0,873.6,0.0
1080000,1090000,1085.0,0,0,0,0,0,977.6,977.6,0.0,977.6,0.0
1090000,1100000,1095.0,0,0,0,0,0,1483.2,1483.2,0.0,1483.2,0.0
1100000,1110000,1105.0,0,0,0,0,0,30.656,30.656,0.0,30.656,0.0
1110000,1120000,1115.0,0,0,0,0,0,51.2,51.2,0.0,51.2,0.0
1120000,1130000,1125.0,0,0,0,0,0,52.8,52.8,0.0,52.8,0.0
1130000,1140000,1135.0,0,0,0,0,0,38.4,38.4,0.0,38.4,0.0
1140000,1150000,1145.0,0,0,0,0,0,68.8,68.8,0.0,68.8,0.0
1150000,1160000,1155.0,0,0,0,0,0,0.2304,0.2304,0.0,0.2304,0.0
1160000,1170000,1165.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1170000,1180000,1175.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1180000,1190000,1185.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1190000,1200000,1195.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1200000,1210000,1205.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1210000,1220000,1215.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1220000,1230000,1225.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1230000,1240000,1235.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1240000,1250000,1245.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1250000,1260000,1255.0,0,0,0,0,0,76.8,76.8,0.0,76.8,0.0
1260000,1270000,1265.0,0,0,0,0,0,219.2,219.2,0.0,219.2,0.0
1270000,1280000,1275.0,0,0,0,0,0,275.2,275.2,0.0,275.2,0.0
1280000,1290000,1285.0,0,0,0,0,0,440.0,440.0,0.0,440.0,0.0
1290000,1300000,1295.0,0,0,0,0,0,572.8,572.8,0.0,572.8,0.0
1300000,1310000,1305.0,0,0,0,0,0,566.4,566.4,0.0,566.4,0.0
1310000,1320000,1315.0,0,0,0,0,0,984.0,984.0,0.0,984.0,0.0
1320000,1330000,1325.0,0,0,0,0,0,873.6,873.6,0.0,873.6,0.0
1330000,1340000,1335.0,0,0,0,0,0,977.6,977.6,0.0,977.6,0.0
1340000,1350000,1345.0,0,0,0,0,0,1483.2,1483.2,0.0,1483.2,0.0
1350000,1360000,1355.0,0,0,0,0,0,30.656,30.656,0.0,30.656,0.0
1360000,1370000,1365.0,0,0,0,0,0,51.2,51.2,0.0,51.2,0.0
1370000,1380000,1375.0,0,0,0,0,0,52.8,52.8,0.0,52.8,0.0
1380000,1390000,1385.0,0,0,0,0,0,38.4,38.4,0.0,38.4,0.0
1390000,1400000,1395.0,0,0,0,0,0,68.8,68.8,0.0,68.8,0.0
1400000,1410000,1405.0,0,0,0,0,0,0.2304,0.2304,0.0,0.2304,0.0
1410000,1420000,1415.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1420000,1430000,1425.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1430000,1440000,1435.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1440000,1450000,1445.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1450000,1460000,1455.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1460000,1470000,1465.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1470000,1480000,1475.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1480000,1490000,1485.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1490000,1500000,1495.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1500000,1510000,1505.0,0,0,0,0,0,76.8,76.8,0.0,76.8,0.0
1510000,1520000,1515.0,0,0,0,0,0,219.2,219.2,0.0,219.2,0.0
1520000,1530000,1525.0,0,0,0,0,0,275.2,275.2,0.0,275.2,0.0
1530000,1540000,1535.0,0,0,0,0,0,440.0,440.0,0.0,440.0,0.0
1540000,1550000,1545.0,0,0,0,0,0,572.8,572.8,0.0,572.8,0.0
1550000,1560000,1555.0,0,0,0,0,0,566.4,566.4,0.0,566.4,0.0
1560000,1570000,1565.0,0,0,0,0,0,984.0,984.0,0.0,984.0,0.0
1570000,1580000,1575.0,0,0,0,0,0,873.6,873.6,0.0,873.6,0.0
1580000,1590000,1585.0,0,0,0,0,0,977.6,977.6,0.0,977.6,0.0
1590000,1600000,1595.0,0,0,0,0,0,1483.2,1483.2,0.0,1483.2,0.0
1600000,1610000,1605.0,0,0,0,0,0,30.656,30.656,0.0,30.656,0.0
1610000,1620000,1615.0,0,0,0,0,0,51.2,51.2,0.0,51.2,0.0
1620000,1630000,1625.0,0,0,0,0,0,52.8,52.8,0.0,52.8,0.0
1630000,1640000,1635.0,0,0,0,0,0,38.4,38.4,0.0,38.4,0.0
1640000,1650000,1645.0,0,0,0,0,0,68.8,68.8,0.0,68.8,0.0
1650000,1660000,1655.0,0,0,0,0,0,0.2304,0.2304,0.0,0.2304,0.0
1660000,1670000,1665.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1670000,1680000,1675.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1680000,1690000,1685.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1690000,1700000,1695.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1700000,1710000,1705.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1710000,1720000,1715.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1720000,1730000,1725.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1730000,1740000,1735.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1740000,1750000,1745.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1750000,1760000,1755.0,0,0,0,0,0,76.8,76.8,0.0,76.8,0.0
1760000,1770000,1765.0,0,0,0,0,0,219.2,219.2,0.0,219.2,0.0
1770000,1780000,1775.0,0,0,0,0,0,275.2,275.2,0.0,275.2,0.0
1780000,1790000,1785.0,0,0,0,0,0,440.0,440.0,0.0,440.0,0.0
1790000,1800000,1795.0,0,0,0,0,0,572.8,572.8,0.0,572.8,0.0
1800000,1810000,1805.0,0,0,0,0,0,566.4,566.4,0.0,566.4,0.0
1810000,1820000,1815.0,0,0,0,0,0,984.0,984.0,0.0,984.0,0.0
1820000,1830000,1825.0,0,0,0,0,0,873.6,873.6,0.0,873.6,0.0
1830000,1840000,1835.0,0,0,0,0,0,977.6,977.6,0.0,977.6,0.0
1840000,1850000,1845.0,0,0,0,0,0,1483.2,1483.2,0.0,1483.2,0.0
1850000,1860000,1855.0,0,0,0,0,0,30.656,30.656,0.0,30.656,0.0
1860000,1870000,1865.0,0,0,0,0,0,51.2,51.2,0.0,51.2,0.0
1870000,1880000,1875.0,0,0,0,0,0,52.8,52.8,0.0,52.8,0.0
1880000,1890000,1885.0,0,0,0,0,0,38.4,38.4,0.0,38.4,0.0
1890000,1900000,1895.0,0,0,0,0,0,68.8,68.8,0.0,68.8,0.0
1900000,1910000,1905.0,0,0,0,0,0,0.2304,0.2304,0.0,0.2304,0.0
