bin_start_ns,bin_end_ns,bin_mid_us,pause_events,resume_events,net_pause_events,active_paused_ports,ports_with_event,overall_cluster_throughput_gbps,pipeline_cluster_throughput_gbps,pipeline_hotspot_touch_cluster_throughput_gbps,pipeline_non_hotspot_cluster_throughput_gbps,alltoall_cluster_throughput_gbps
950000,960000,955.0,0,0,0,0,0,737.6,25.6,25.6,0.0,712.0
960000,970000,965.0,0,0,0,0,0,738.4,25.6,25.6,0.0,712.8
970000,980000,975.0,0,0,0,0,0,738.4,25.6,25.6,0.0,712.8
980000,990000,985.0,0,0,0,0,0,739.2,25.6,25.6,0.0,713.6
990000,1000000,995.0,0,0,0,0,0,739.2,25.6,25.6,0.0,713.6
1000000,1010000,1005.0,0,0,0,0,0,794.4,93.6,38.4,55.2,700.8
1010000,1020000,1015.0,0,0,0,0,0,900.8,205.6,45.6,160.0,695.2
1020000,1030000,1025.0,0,0,0,0,0,940.0,245.6,46.4,199.2,694.4
1030000,1040000,1035.0,0,0,0,0,0,1061.6,369.6,48.8,320.8,692.0
1040000,1050000,1045.0,0,0,0,0,0,1156.0,471.2,56.0,415.2,684.8
1050000,1060000,1055.0,0,0,0,0,0,1152.0,467.2,55.2,412.0,684.8
1060000,1070000,1065.0,0,0,0,0,0,1457.6,773.6,57.6,716.0,684.0
1070000,1080000,1075.0,0,0,0,0,0,1372.8,698.4,65.6,632.8,674.4
1080000,1090000,1085.0,3,0,3,3,3,1452.0,785.6,73.6,712.0,666.4
1090000,1100000,1095.0,4,0,4,7,4,1627.2,1357.6,281.6,1076.0,269.6
1100000,1110000,1105.0,0,7,-7,0,7,393.0496,96.2496,77.7152,18.5344,296.8
1110000,1120000,1115.0,0,0,0,0,0,756.0,65.6,40.0,25.6,690.4
1120000,1130000,1125.0,0,0,0,0,0,764.8,63.2,37.6,25.6,701.6
1130000,1140000,1135.0,0,0,0,0,0,760.0,56.8,36.8,20.0,703.2
1140000,1150000,1145.0,0,0,0,0,0,774.4,71.2,36.8,34.4,703.2
1150000,1160000,1155.0,0,0,0,0,0,739.3152,37.7152,37.6,0.1152,701.6
1160000,1170000,1165.0,0,0,0,0,0,739.2,33.6,33.6,0.0,705.6
1170000,1180000,1175.0,0,0,0,0,0,740.8,38.4,38.4,0.0,702.4
1180000,1190000,1185.0,0,0,0,0,0,740.0,38.4,38.4,0.0,701.6
1190000,1200000,1195.0,0,0,0,0,0,739.2,36.8,36.8,0.0,702.4
1200000,1210000,1205.0,0,0,0,0,0,739.2,38.4,38.4,0.0,700.8
1210000,1220000,1215.0,0,0,0,0,0,740.8,37.6,37.6,0.0,703.2
1220000,1230000,1225.0,0,0,0,0,0,740.0,36.8,36.8,0.0,703.2
1230000,1240000,1235.0,0,0,0,0,0,740.8,36.0,36.0,0.0,704.8
1240000,1250000,1245.0,0,0,0,0,0,739.2,38.4,38.4,0.0,700.8
1250000,1260000,1255.0,0,0,0,0,0,796.8,104.8,49.6,55.2,692.0
1260000,1270000,1265.0,0,0,0,0,0,900.0,214.4,54.4,160.0,685.6
1270000,1280000,1275.0,0,0,0,0,0,940.8,259.2,60.0,199.2,681.6
1280000,1290000,1285.0,0,0,0,0,0,1064.0,381.6,61.6,320.0,682.4
1290000,1300000,1295.0,0,0,0,0,0,1157.6,487.2,71.2,416.0,670.4
1300000,1310000,1305.0,0,0,0,0,0,1154.4,478.4,66.4,412.0,676.0
1310000,1320000,1315.0,0,0,0,0,0,1456.0,780.8,66.4,714.4,675.2
1320000,1330000,1325.0,0,0,0,0,0,1376.1152,713.7152,79.3152,634.4,662.4
1330000,1340000,1335.0,0,0,0,0,0,1452.9152,793.7152,83.3152,710.4,659.2
1340000,1350000,1345.0,6,0,6,6,6,1824.0,1164.8,86.4,1078.4,659.2
1350000,1360000,1355.0,1,6,-5,1,7,530.3104,299.1104,281.376,17.7344,231.2
1360000,1370000,1365.0,0,1,-1,0,1,726.4,71.2,45.6,25.6,655.2
1370000,1380000,1375.0,0,0,0,0,0,764.0,65.6,40.0,25.6,698.4
1380000,1390000,1385.0,0,0,0,0,0,760.1152,59.3152,39.3152,20.0,700.8
1390000,1400000,1395.0,0,0,0,0,0,775.2,72.8,38.4,34.4,702.4
1400000,1410000,1405.0,0,0,0,0,0,737.7152,39.3152,39.2,0.1152,698.4
1410000,1420000,1415.0,0,0,0,0,0,740.0,39.2,39.2,0.0,700.8
1420000,1430000,1425.0,0,0,0,0,0,740.8,40.0,40.0,0.0,700.8
1430000,1440000,1435.0,0,0,0,0,0,738.4,36.8,36.8,0.0,701.6
1440000,1450000,1445.0,0,0,0,0,0,736.8,38.4,38.4,0.0,698.4
1450000,1460000,1455.0,0,0,0,0,0,740.0,40.0,40.0,0.0,700.0
1460000,1470000,1465.0,0,0,0,0,0,740.0,40.0,40.0,0.0,700.0
1470000,1480000,1475.0,0,0,0,0,0,737.6,40.0,40.0,0.0,697.6
1480000,1490000,1485.0,0,0,0,0,0,739.2,40.0,40.0,0.0,699.2
1490000,1500000,1495.0,0,0,0,0,0,736.8,38.4,38.4,0.0,698.4
1500000,1510000,1505.0,0,0,0,0,0,792.8,108.0,52.8,55.2,684.8
1510000,1520000,1515.0,0,0,0,0,0,898.4,219.2,59.2,160.0,679.2
1520000,1530000,1525.0,0,0,0,0,0,940.0,252.8,53.6,199.2,687.2
1530000,1540000,1535.0,0,0,0,0,0,1063.2,380.0,60.0,320.0,683.2
1540000,1550000,1545.0,0,0,0,0,0,1156.8,482.4,66.4,416.0,674.4
1550000,1560000,1555.0,0,0,0,0,0,1154.4,483.2,71.2,412.0,671.2
1560000,1570000,1565.0,0,0,0,0,0,1457.8304,788.9152,73.7152,715.2,668.9152
1570000,1580000,1575.0,0,0,0,0,0,1375.0912,713.6,80.0,633.6,661.4912
1580000,1590000,1585.0,0,0,0,0,0,1452.8,795.2,83.2,712.0,657.6
1590000,1600000,1595.0,6,0,6,6,6,1812.8,1196.8,119.2,1077.6,616.0
1600000,1610000,1605.0,1,7,-6,0,7,574.6496,317.0496,300.1152,16.9344,257.6
1610000,1620000,1615.0,0,0,0,0,0,741.6,85.6,60.0,25.6,656.0
1620000,1630000,1625.0,0,0,0,0,0,762.5152,72.9152,48.1152,24.8,689.6
1630000,1640000,1635.0,0,0,0,0,0,759.2,70.4,49.6,20.8,688.8
1640000,1650000,1645.0,0,0,0,0,0,773.6,82.4,48.0,34.4,691.2
1650000,1660000,1655.0,0,0,0,0,0,740.8064,49.7152,49.6,0.1152,691.0912
1660000,1670000,1665.0,0,0,0,0,0,736.6976,48.0,48.0,0.0,688.6976
1670000,1680000,1675.0,0,0,0,0,0,739.5648,50.4,50.4,0.0,689.1648
1680000,1690000,1685.0,0,0,0,0,0,738.2912,56.0,56.0,0.0,682.2912
1690000,1700000,1695.0,0,0,0,0,0,742.976,55.2,55.2,0.0,687.776
1700000,1710000,1705.0,0,0,0,0,0,740.2304,57.6,57.6,0.0,682.6304
1710000,1720000,1715.0,0,0,0,0,0,736.8,50.4,50.4,0.0,686.4
1720000,1730000,1725.0,0,0,0,0,0,732.8,56.0,56.0,0.0,676.8
1730000,1740000,1735.0,0,0,0,0,0,735.2,54.4,54.4,0.0,680.8
1740000,1750000,1745.0,0,0,0,0,0,735.2,57.6,57.6,0.0,677.6
1750000,1760000,1755.0,0,0,0,0,0,792.8,118.4,63.2,55.2,674.4
1760000,1770000,1765.0,0,0,0,0,0,894.9824,241.6,81.6,160.0,653.3824
1770000,1780000,1775.0,0,0,0,0,0,939.232,271.2,72.0,199.2,668.032
1780000,1790000,1785.0,0,0,0,0,0,1065.0304,416.0,96.0,320.0,649.0304
1790000,1800000,1795.0,0,0,0,0,0,1159.0912,506.4,90.4,416.0,652.6912
1800000,1810000,1805.0,0,0,0,0,0,1157.7152,513.6,101.6,412.0,644.1152
1810000,1820000,1815.0,0,0,0,0,0,1457.7152,812.9152,98.5152,714.4,644.8
1820000,1830000,1825.0,0,0,0,0,0,1381.2672,740.8,106.4,634.4,640.4672
1830000,1840000,1835.0,0,0,0,0,0,1454.2016,827.3152,116.9152,710.4,626.8864
1840000,1850000,1845.0,7,0,7,7,7,1821.0368,1270.7456,195.5456,1075.2,550.2912
1850000,1860000,1855.0,0,7,-7,0,7,622.3104,314.7648,294.6304,20.1344,307.5456
1860000,1870000,1865.0,0,0,0,0,0,749.728,116.8,90.4,26.4,632.928
1870000,1880000,1875.0,0,0,0,0,0,736.96,136.8,112.8,24.0,600.16
1880000,1890000,1885.0,2,1,1,1,2,691.552,164.2304,142.6304,21.6,527.3216
1890000,1900000,1895.0,5,2,3,4,6,712.2304,396.0,361.6,34.4,316.2304
1900000,1910000,1905.0,1,5,-4,0,5,587.9104,124.2304,124.1152,0.1152,463.68
1910000,1920000,1915.0,1,0,1,1,1,670.0928,167.3152,167.3152,0.0,502.7776
1920000,1930000,1925.0,5,0,5,6,5,545.7472,389.376,389.376,0.0,156.3712
1930000,1940000,1935.0,0,1,-1,5,1,140.576,108.2304,108.2304,0.0,32.3456
1940000,1950000,1945.0,0,5,-5,0,5,404.8256,126.5152,126.5152,0.0,278.3104
1950000,1960000,1955.0,0,0,0,0,0,612.0576,317.6,317.6,0.0,294.4576
1960000,1970000,1965.0,0,0,0,0,0,588.0192,535.0912,535.0912,0.0,52.928
1970000,1980000,1975.0,0,0,0,0,0,429.8304,429.8304,429.8304,0.0,0.0
1980000,1990000,1985.0,0,0,0,0,0,315.0912,315.0912,315.0912,0.0,0.0
1990000,2000000,1995.0,0,0,0,0,0,252.9152,252.9152,252.9152,0.0,0.0
2000000,2010000,2005.0,0,0,0,0,0,108.6912,108.6912,108.6912,0.0,0.0
